[ 2026-05-23 09:56:01,868 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-05-23 09:56:02,706 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-05-23 09:56:03,495 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-05-23 09:56:03,505 ] 107 dagshub - INFO - Accessing as Tanvi2307
[ 2026-05-23 09:56:03,880 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Tanvi2307/NetworkSecurity-ml-project "HTTP/1.1 200 OK"
[ 2026-05-23 09:56:04,669 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-05-23 09:56:04,674 ] 107 dagshub - INFO - Initialized MLflow to track repo "Tanvi2307/NetworkSecurity-ml-project"
[ 2026-05-23 09:56:04,675 ] 107 dagshub - INFO - Repository Tanvi2307/NetworkSecurity-ml-project initialized!
[ 2026-05-23 09:56:04,676 ] 16 root - INFO - Initiate the data ingestion
[ 2026-05-23 09:56:07,623 ] 63 root - INFO - Performed train test split on the dataframe
[ 2026-05-23 09:56:07,623 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-23 09:56:07,624 ] 71 root - INFO - Exporting train and test file path.
[ 2026-05-23 09:56:07,668 ] 79 root - INFO - Exported train and test file path.
[ 2026-05-23 09:56:07,669 ] 18 root - INFO - Data Initiation Completed
[ 2026-05-23 09:56:07,690 ] 22 root - INFO - Initiate the data validation
[ 2026-05-23 09:56:07,785 ] 31 root - INFO - Required number of columns:2
[ 2026-05-23 09:56:07,785 ] 32 root - INFO - Data frame has columns:31
[ 2026-05-23 09:56:07,785 ] 31 root - INFO - Required number of columns:2
[ 2026-05-23 09:56:07,785 ] 32 root - INFO - Data frame has columns:31
[ 2026-05-23 09:56:07,964 ] 24 root - INFO - Data Validation Completed
[ 2026-05-23 09:56:07,965 ] 27 root - INFO - data Transformation started
[ 2026-05-23 09:56:07,965 ] 60 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-23 09:56:07,965 ] 62 root - INFO - Starting data transformation
[ 2026-05-23 09:56:07,989 ] 41 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-05-23 09:56:07,990 ] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-23 09:56:08,003 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-23 09:56:08,008 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-23 09:56:08,008 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-23 09:56:08,010 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-23 09:56:08,012 ] 31 root - INFO - data Transformation completed
[ 2026-05-23 09:56:08,012 ] 32 root - INFO - Model Training sstared
[ 2026-05-23 09:59:38,350 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-23 09:59:38,352 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-23 09:59:38,353 ] 122 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_23_2026_09_55_22\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991238793806031, precision_score=0.9914407988587732, recall_score=0.9910368710531676), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9735576923076923, precision_score=0.9735576923076923, recall_score=0.9735576923076923))
[ 2026-05-23 09:59:38,359 ] 36 root - INFO - Model Training artifact created
